diffusion_rate,inflow_mols,integer,mean_frequency,sd_frequency
0.93260334688322,2154.4346900318824,2,78.24,22.73081608741754
0.93260334688322,4641.588833612777,2,72.68,35.55362147517465
0.93260334688322,10000,2,70.2,73.73771084051906
1.0235310218990263,1000,2,80.72,20.671074798697173
1.0235310218990263,2154.4346900318824,2,79.08,23.113704448515676
1.0235310218990263,4641.588833612777,2,75.52,38.196989410161635
1.0235310218990263,10000,2,71.96,62.37953724312699
1.1233240329780276,1000,2,77.28,17.700094161708105
1.1233240329780276,2154.4346900318824,2,79.28,22.393302570188258
1.1233240329780276,4641.588833612777,2,73,33.65635155509284
1.1233240329780276,10000,2,77.48,71.02060733805834
1.232846739442066,1000,2,80.36,19.572259280250027
1.232846739442066,2154.4346900318824,2,81.24,20.472094828489503
1.232846739442066,4641.588833612777,2,78.44,37.203360063306114
