n_atoms,log10_N,assembly_index
10,6.2228,5
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,7
10,6.2228,5
10,6.2228,6
10,6.2228,8
10,6.2228,7
10,6.2228,7
10,6.2228,6
10,6.2228,6
10,6.2228,6
10,6.2228,6
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,9
11,7.0871,7
11,7.0871,9
11,7.0871,7
11,7.0871,9
11,7.0871,6
11,7.0871,7
11,7.0871,5
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,10
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,5
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,5
11,7.0871,8
11,7.0871,9
11,7.0871,6
11,7.0871,10
11,7.0871,6
11,7.0871,9
11,7.0871,5
11,7.0871,7
11,7.0871,9
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,9
11,7.0871,7
11,7.0871,8
11,7.0871,9
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,9
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,5
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,8
11,7.0871,5
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,5
11,7.0871,8
11,7.0871,9
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,9
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,9
11,7.0871,9
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,5
11,7.0871,5
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,9
11,7.0871,9
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,9
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,5
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,10
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,9
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,5
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,9
11,7.0871,8
11,7.0871,9
11,7.0871,6
11,7.0871,9
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,10
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,5
11,7.0871,9
11,7.0871,6
